prod_name,brand_name,marked_price,discounted_price,rating,rating_count,size,product_link,img_link
Men Pure Cotton Casual Shirt,Roadster,1699.0,968.0,4.3,52.0,38,https://www.myntra.com/shirts/roadster/roadster-men-maroon-pure-cotton-solid-casual-shirt/11957914/buy,
Women Walking Shoes,Layasa,999.0,699.0,4.7,1.0,UK4,https://www.myntra.com/sports-shoes/layasa/layasa-women-mesh-walking-non-marking-shoes/21269606/buy,
Women Skinny Joggers,HRX by Hrithik Roshan,1899.0,1044.0,4.3,1.8,L,https://www.myntra.com/track-pants/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-blue-printed-detail-skinny-fit-joggers/2167137/buy,
Real Make-Up Base Primer,SWISS BEAUTY,399.0,351.0,4.4,53.0,30-40 ML,https://www.myntra.com/foundation-and-primer/swiss-beauty/swiss-beauty-real-make-up-base-highlighting-primer---natural-tint/17973220/buy,
Men Front Runner Shoe,HRX by Hrithik Roshan,3299.0,1484.0,4.2,3.0,UK6,https://www.myntra.com/sports-shoes/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-men-grey-front-runner-shoe/19538450/buy,
Men Leather Slip-On Sneakers,Florsheim,,,0.0,0.0,UK7.5,https://www.myntra.com/casual-shoes/florsheim/florsheim-men-leather-slip-on-sneakers/21587396/buy,
Men Solid Leather Derbys,Louis Philippe,4999.0,2999.0,4.2,20.0,UK7,https://www.myntra.com/formal-shoes/louis-philippe/louis-philippe-men-black-solid-leather-formal-derbys-with-perforated-detail/16877504/buy,
Floral Empire Maxi Dress,Nayo,2499.0,899.0,4.2,20.0,M,https://www.myntra.com/dresses/nayo/nayo-lavender-floral-maternity-empire-maxi-dress/19587650/buy,
Men Slim Fit Cargos Trousers,Hubberholme,1499.0,989.0,4.3,39.0,32,https://www.myntra.com/trousers/hubberholme/hubberholme-men-blue-slim-fit-stretchable-cargos-trousers/15535338/buy,
Men Slim Fit Cargos Trousers,Hubberholme,1499.0,989.0,4.3,39.0,32,https://www.myntra.com/trousers/hubberholme/hubberholme-men-blue-slim-fit-stretchable-cargos-trousers/15535338/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/15535338/2021/9/24/b362c0c0-036f-416a-becc-b8808dd0d5c01632467629139-Hubberholme-Men-Trousers-2961632467628377-1.jpg"
