prod_name,brand_name,marked_price,discounted_price,rating,rating_count,size,product_link,img_link
Enchanting Green Colour Classy Embroidered Lehenga with Solid Choli,Libas,4999,2149,4.5,1.6,S,https://www.myntra.com/lehenga-choli/libas/libas-enchanting-green-colour-classy-embroidered-lehenga-with-solid-choli/14914166/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/14914166/2021/8/24/19e49676-2dd4-4273-89d9-4ac9083e4d691629785952899-Libas-Women-Lehenga-Choli-8081629785952553-1.jpg"
Bullets Z2 Wireless Neckband,OnePlus,2299,1999,4.3,2,Onesize,https://www.myntra.com/headphones/oneplus/oneplus-bullets-z2-bluetooth-wireless-neckband-with-bombastic-bass--10-mins-charge/19957602/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/19957602/2022/12/23/5cdba1af-3409-488b-98ae-0bbb0d8594fc1671768370314-OnePlus-Unisex-Headphones-991671768370140-3.jpg"
Bullets Z2 Wireless Neckband,OnePlus,2299,1999,4.3,2,Onesize,https://www.myntra.com/headphones/oneplus/oneplus-bullets-z2-bluetooth-wireless-neckband-with-bombastic-bass--10-mins-charge/19957602/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/19957602/2022/12/23/5cdba1af-3409-488b-98ae-0bbb0d8594fc1671768370314-OnePlus-Unisex-Headphones-991671768370140-3.jpg"
Women RITZ Watch,Michael Kors,18495,12021,4.6,53,Onesize,https://www.myntra.com/watches/michael-kors/michael-kors-ritz-women-rose-gold-analogue-watch-mk6475/1812549/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/1812549/2020/1/15/c8e47dbb-61f1-41f9-978b-b44f33f16ead1579076942045-Michael-Kors-Women-Rose-Gold-Toned-Chronograph-Watch-MK6475I-1.jpg"
Women Stainless Steel Straps Watch,Michael Kors,16495,8247,4.1,16,Onesize,https://www.myntra.com/watches/michael-kors/michael-kors-women-rose-gold-toned-dial--stainless-steel-straps-analogue-watch/15321440/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/15321440/2022/10/21/e45704e6-c24c-429a-a37c-d5c09f449c501666334998759MichaelKorsWomenRoseGold-TonedDialStainlessSteelStrapsAnalog1.jpg"
Men Clarkin Sneakers,U.S. Polo Assn.,2999,2099,4.3,14.5,UK6,https://www.myntra.com/casual-shoes/us-polo-assn/us-polo-assn-men-white-clarkin-sneakers/10339033/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/10339033/2022/4/25/3170e623-ab80-4678-9628-14cb6033ab171650883660619USPoloAssnMenWhiteClarkinSneakers1.jpg"
Printed Kurta with Palazzos,Anouk,2199,989,4.2,9.7,XS,https://www.myntra.com/kurta-sets/anouk/anouk-women-yellow--white-printed-kurta-with-palazzos/13791594/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/13791594/2022/2/14/5ea707f4-8491-4d1c-b520-86a1cff4c86e1644841891629-Anouk-Women-Yellow--White-Printed-Kurta-with-Palazzos-706164-1.jpg"
Airdopes 131 M TWS Earbuds,boAt,2990,1299,4.1,41.9,Onesize,https://www.myntra.com/headphones/boat/boat--black-airdopes-131-m-earbuds/11888942/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/11888942/2022/12/23/22d0b950-306f-4bcc-a1e0-8f623feeadba1671771193272-boAt--Black-Airdopes-131-M-TWS-IWP-Type-C-Port-Earbuds-30416-1.jpg"
Women Bandhani Printed Kurta,Varanga,3299,791,4.1,1.9,XL,https://www.myntra.com/kurtas/varanga/varanga-women-purple--white-bandhani-printed-kurta/17709686/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/17709686/2022/4/7/206b36ca-ae0d-4e9b-86be-a57eb6dbf00d1649325253946-Varanga-Women-Kurtas-8891649325253498-1.jpg"
Printed Straight Kurta,Anouk,1799,719,3.9,22.4,M,https://www.myntra.com/kurtas/anouk/anouk-women-pink-printed-straight-kurta/2322979/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2322979/2018/2/13/11518506064968-Anouk-Women-Peach-Coloured-Printed-Straight-Kurta-6851518506064751-1.jpg"
Cotton Floral Print Kurta Sets,Libas,3599,1475,4.4,12.2,XXL,https://www.myntra.com/kurta-sets/libas/libas-women-navy-blue-pure-cotton-floral-print-kurta-with-palazzos--dupatta/14046594/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/14046594/2022/6/9/5fba9594-3301-4881-ba56-d56a44570e831654747998773LibasWomenNavyBluePureCottonFloralPrintKurtawithPalazzosDupa1.jpg"
Leheriya Striped Kurta,FASHOR,2299,1049,0,0,XL,https://www.myntra.com/kurtas/fashor/fashor-leheriya-striped-keyhole-neck-thread-work-kurta/21273726/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/21273726/2022/12/22/779dfc5f-0765-4165-a246-22082fb960601671691456357Kurtas1.jpg"
BT3101/15 Beard Trimmer,Philips,1495,1001,4.3,10.8,Onesize,https://www.myntra.com/trimmer/philips/philips-men-bt310115-series-3000-beard-trimmer---white/11915238/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/11915238/2021/10/11/e97689dd-24fb-4336-bba7-8b1ea7bb302f1633932426722-Philips-Men-BT310115-Series-3000-Beard-Trimmer---White-25616-1.jpg"
Airdopes 163 M TWS Earbuds,boAt,2490,1099,4.2,3.9,Onesize,https://www.myntra.com/headphones/boat/boat-airdopes-black-163-m-with-asap-charge-in-the-ear-bluetooth-headset/19597724/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/19597724/2022/9/16/9798bf0b-dfa3-4bef-966d-ec2d7a39cd5b1663321896091-boAt-Airdopes-Black-163-M-with-ASAP-Charge-In-the-Ear-Blueto-1.jpg"
Men Slim Fit Cargos Trousers,HIGHLANDER,1949,779,4.2,71,30,https://www.myntra.com/trousers/highlander/highlander-men-olive-green-slim-fit-easy-wash-cargos-trousers/15745680/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/15745680/2022/9/26/a01056ae-d334-48af-ae41-718d45f2270b1664185317481HIGHLANDERMenOliveGreenSlimFitEasyWashCargosTrousers1.jpg"
Women Three Piece Blazer Co-Ord set,Athena,3499,1994,4.1,29,L,https://www.myntra.com/co-ords/athena/athena-women-teal-blue-solid-three-piece-blazer-co-ord-set/20380974/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/20380974/2022/10/13/f6493924-0a5d-4378-a1b9-5a8688f280021665645281402AthenaTealThreePieceBlazerCo-Ordset1.jpg"
Buds Wireless 2 Neo,Realme,2499,1299,4.2,2.9,Onesize,https://www.myntra.com/headphones/realme/realme-black-buds-wireless-2-neo-with-type-c-fast-charge--bass-boost-bluetooth-headset--in-the-ear/15484432/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/15484432/2021/9/21/ccddbedc-1ff2-4378-9789-ed129560db251632211239810-realme-Black-Buds-Wireless-2-Neo-Bluetooth-Headphones-651632-1.jpg"
Women Ethnic Motifs Printed Anarkali Kurta,KALINI,2299,712,4.1,7,XL,https://www.myntra.com/kurtas/kalini/kalini-women-ethnic-motifs-printed-mirror-work-summer-sheers-anarkali-kurta/21589912/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/21589912/2023/1/18/895674c1-2d15-408e-943f-a42d1733d3511674014421934KALINIWomenPurpleGeometricPrintedFlaredSleevesMirrorWorkSumm1.jpg"
Men 511 Styled Slim Fit Jeans,Levis,3199,1599,4.3,50,28,https://www.myntra.com/jeans/levis/levis-men-blue-511-styled-slim-fit-heavy-fade-stretchable-jeans/18074844/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/18074844/2022/9/22/3f5a9789-bd12-4ff9-96f5-db02eef613121663826259067-Levis-Men-Blue-511-Styled-Slim-Fit-Heavy-Fade-Stretchable-Je-1.jpg"
Men Slim Fit Jeans,Roadster,1099,626,4,1.6,30,https://www.myntra.com/jeans/roadster/the-roadster-lifestyle-co-men-blue-slim-fit-mid-rise-clean-look-stretchable-jeans/10046829/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/10046829/2019/11/6/e2509cdf-b016-4d64-a984-7d8dd0087dc41573041898309-Roadster-Men-Jeans-661573041895926-1.jpg"
Women Ethnic Motifs Printed Kurta,Libas,1499,674,4.3,4.1,L,https://www.myntra.com/kurtas/libas/libas-women-blue--pink-floral-motifs-printed-kurta/17644452/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/17644452/2022/4/6/ef668fbb-c88a-4243-b9bd-3282d2a84afd1649238881413-Libas-Women-Kurtas-5701649238880836-1.jpg"
Men Sneakers,Roadster,3795,872,3.7,5.3,UK10,https://www.myntra.com/casual-shoes/roadster/the-roadster-lifestyle-co-men-white-sneakers/16513990/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/16513990/2022/1/26/d8f01fca-59e2-4f82-8214-9cd61d373be41643184909272-Roadster-Men-White-Sneakers-6661643184908868-1.jpg"
Women Kurta With Trouser,Nayo,3699,1368,4.1,7.9,M,https://www.myntra.com/kurta-sets/nayo/nayo-women-red-floral-printed-kurta-with-trouser--dupatta/14709966/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/14709966/2021/7/10/d2407657-1f04-4d13-9f52-9e134050489b1625905793495-Nayo-Women-Red-Ethnic-Motifs-Printed-Empire-Pure-Cotton-Kurt-1.jpg"
Women Analogue Watch,JOKER & WITCH,3799,949,4.2,2.5,Onesize,https://www.myntra.com/watches/joker--witch/joker--witch-women-black-analogue-watch-amww214/12105744/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/12105744/2023/1/27/78a0a360-d0ff-46dc-8327-e5b6518c56db1674822588430-JOKER--WITCH-Women-Black-Analogue-Watch-AMWW214-227167482258-1.jpg"
Women Analogue Watch,Daniel Klein,4150,1452,4.4,8.1,Onesize,https://www.myntra.com/watches/daniel-klein/daniel-klein-women-navy-blue-analogue-watch-dk11421-7/2466434/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2466434/2020/3/4/7b2d4962-fba0-4e7b-bc1b-08a75372f60e1583323781614-Daniel-Klein-Women-Navy-Blue-Analogue-Watch-DK11421-7-167158-1.jpg"
Bikini & Body Hair Trimmer,PAINLESS,1499,1049,4,47,Onesize,https://www.myntra.com/trimmer/painless/painless-4-in-1-usb-bikini--body-hair-removal-trimmer/15442724/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/15442724/2021/9/13/6fbe138a-87e0-4a0c-adff-3354f5cc2ac61631522941795Trimmer1.jpg"
Men Ceramic Straps Watch,Titan,,,0,0,Onesize,https://www.myntra.com/watches/titan/titan-men-dial--ceramic-bracelet-style-straps-analogue-watch-nq1696kc01/21769640/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/21769640/2023/1/31/51568acf-d5c9-4005-92c4-2f4d6a2cb7df1675144353716Watches1.jpg"
SPF 50 PA++++ Sunscreen,Minimalist,399,379,4.5,5.7,40-50 ML,https://www.myntra.com/sunscreen/minimalist/minimalist-spf-50-pa-multi-vitamin-sunscreen/15853718/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/15853718/2022/7/18/3302ffaf-5ebe-492f-9436-4f92bf5488401658122011957-Minimalist-SPF-50-PA-Multi-Vitamin-Sunscreen-670165812201146-1.jpg"
