prod_name,brand_name,marked_price,discounted_price,rating,rating_count,size,product_link,img_link
Men Slim Fit Shorts,HIGHLANDER,1249,624,4.2,2.8,34,https://www.myntra.com/shorts/highlander/highlander-men-blue-printed-slim-fit-denim-shorts/12005964/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/productimage/2020/6/25/fe9ce8bd-3057-4693-8c71-b1675d5d7ebf1593037996150-1.jpg"
Men Solid Sneakers,HIGHLANDER,1990,736,4.1,2.4,UK11,https://www.myntra.com/casual-shoes/highlander/highlander-men-white-sneakers/12067992/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/12067992/2021/2/22/090fc394-cf26-43b7-807d-134ca7c68b911613970123853-HIGHLANDER-Men-White-Sneakers-5371613970122157-6.jpg"
Men Slim Fit Striped Shirt,Levis,2999,1499,4.4,4,38,https://www.myntra.com/shirts/levis/levis-men-slim-fit-vertical-striped-casual-shirt/18974232/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/18974232/2022/9/27/26d7db3e-f47a-4d9e-81ca-c4141c30ebe01664252987181-Shirt-1901664252986688-1.jpg"
Embellished Sling Bag,Diva Dale,1799,849,0,0,M,https://www.myntra.com/handbags/diva-dale/diva-dale-embellished-sling-bag/21997488/buy,
Men Colourblocked Sneakers,Mast & Harbour,3795,948,3.8,21,UK11,https://www.myntra.com/casual-shoes/mast--harbour/mast--harbour-men-white-colourblocked-sneakers/19470616/buy,
Women Embroidered Kurta Set,Libas,6499,2599,4.1,7,M,https://www.myntra.com/kurta-sets/libas/libas-women-peach-coloured-embroidered-layered-sequinned-kurta-set-with-dupatta--potli/19656046/buy,
Printed Cotton Boxy T-shirt,The Souled Store,1499,629,0,0,XS,https://www.myntra.com/tshirts/the-souled-store/the-souled-store-women-blue-kung-fu-panda-printed-cotton-boxy-t-shirt/21315278/buy,
Puff Sleeves Fit & Flare Dress,Athena,2399,1031,4.2,1.7,M,https://www.myntra.com/dresses/athena/athena-women-burgundy-floral-print-puff-sleeves-fit--flare-dress/15300950/buy,
Kurta with Trousers & Dupatta,Berrylicious,2375,999,0,0,M,https://www.myntra.com/kurta-sets/berrylicious/berrylicious-ethnic-motifs-printed-pure-cotton-kurta-with-trousers--dupatta/21535796/buy,
Women Tie and Dye Dyed Loose T-shirt,Difference of Opinion,1399,713,4.4,1.9,XS,https://www.myntra.com/tshirts/difference-of-opinion/difference-of-opinion-women-multicoloured-tie-and-dye-dyed-loose-t-shirt/15399606/buy,
Women Kurta with Trousers With Dupatta,Tikhi Imli,3398,1699,4.2,21,L,https://www.myntra.com/kurta-sets/tikhi-imli/tikhi-imli-women-burgundy-kurta-with-trousers--with-dupatta/19140322/buy,
Super Stay 24H Foundation 120,Maybelline,849,492,4.4,5,25-30 ML,https://www.myntra.com/foundation-and-primer/maybelline/maybelline-new-york-super-stay-24h-full-coverage-foundation-30-ml---classic-ivory-120/7638881/buy,
Women Night suit,SANSKRUTIHOMES,3899,1169,4.1,4,M,https://www.myntra.com/night-suits/sanskrutihomes/sanskrutihomes-women-printed-night-suit/19994746/buy,
Pure Cotton Pathani Kurta Set,Molly & Michel,4999,1199,4.1,20,S,https://www.myntra.com/kurta-sets/molly--michel/molly--michel-men-black-solid-pure-cotton-pathani-kurta-with-salwar/14878696/buy,
Men Velcro Sports Sandal,Sparx,,,0,0,UK7,https://www.myntra.com/sports-sandals/sparx/sparx-men-black-sports-velcro-sandal/21662360/buy,
